# bigram	count	reason	w0_pos	w1_pos
cannot explain	41	w0_missing	NONE	{Adj, Verb}
never moved	41	w1_ambiguous	{Adv}	{Verb, Adj}
under captain	41	both_ambiguous	{Adj, Prep, Adv}	{Noun, Adj, Verb}
people saying	41	both_ambiguous	{Verb, Noun}	{Verb, Noun}
very noble	41	both_ambiguous	{Verb, Adv}	{Adj, Noun, Verb}
good meal	41	both_ambiguous	{Noun, Adv, Verb, Adj}	{Noun, Verb}
will reach	41	both_ambiguous	{Adv, Noun, Verb}	{Noun, Verb}
hear one	41	w1_ambiguous	{Verb}	{Noun, Verb, Adj}
rolling over	41	both_ambiguous	{Verb, Adj, Noun}	{Adj, Prep, Noun, Adv}
above water	41	both_ambiguous	{Prep, Adv}	{Verb, Noun}
one desirous	41	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
lie between	41	both_ambiguous	{Verb, Noun}	{Prep, Noun}
about time	41	both_ambiguous	{Adv, Prep}	{Verb, Noun}
turn about	41	both_ambiguous	{Noun, Verb}	{Adv, Prep}
essential part	41	w1_ambiguous	{Adj}	{Noun, Verb, Adv}
last twenty	41	both_ambiguous	{Adj, Noun, Verb}	{Adj, Noun}
vanity fair	41	w1_ambiguous	{Noun}	{Adj, Adv, Verb, Noun}
love thou	41	w0_ambiguous	{Noun, Verb}	{Verb}
get enough	41	both_ambiguous	{Verb, Noun}	{Noun, Adj, Adv}
big white	41	both_ambiguous	{Adj, Verb, Noun}	{Verb, Adj, Noun}
extremely difficult	41	w1_ambiguous	{Adv}	{Adj, Verb}
himself among	41	w0_missing	NONE	{Prep}
sun rock	41	both_ambiguous	{Verb, Noun}	{Verb, Noun}
young officer	41	both_ambiguous	{Adj, Noun}	{Verb, Noun}
new clothes	41	w0_ambiguous	{Adj, Adv, Verb}	{Noun}
precious time	41	w1_ambiguous	{Adj}	{Verb, Noun}
more generous	41	w0_ambiguous	{Verb, Noun, Adj, Adv}	{Adj}
sending out	41	both_ambiguous	{Verb, Noun}	{Verb, Noun, Adj}
word said	41	both_ambiguous	{Noun, Verb}	{Verb, Adj}
out beyond	41	both_ambiguous	{Verb, Noun, Adj}	{Adv, Prep}
often see	41	both_ambiguous	{Adv, Adj}	{Noun, Verb}
father should	41	both_ambiguous	{Verb, Noun}	{Adj, Verb}
miss heron	41	w0_ambiguous	{Noun, Verb}	{Noun}
man still	41	both_ambiguous	{Noun, Verb}	{Verb, Noun, Adj, Adv}
said lister	41	w0_ambiguous	{Verb, Adj}	{Noun}
dead silence	41	both_ambiguous	{Verb, Adj, Adv, Noun}	{Verb, Noun}
virgin mary	41	w0_ambiguous	{Adj, Noun, Verb}	{Noun}
four more	41	both_ambiguous	{Noun, Adj}	{Verb, Noun, Adj, Adv}
closely connected	41	w1_ambiguous	{Adv}	{Adj, Verb}
people saw	41	both_ambiguous	{Verb, Noun}	{Verb, Adj, Noun}
itself more	41	w0_missing	NONE	{Verb, Noun, Adj, Adv}
tossed about	41	both_ambiguous	{Verb, Adj}	{Adv, Prep}
too warm	41	w1_ambiguous	{Adv}	{Noun, Adj, Verb}
window looking	41	both_ambiguous	{Verb, Noun}	{Noun, Adj, Verb}
clean up	41	both_ambiguous	{Adv, Adj}	{Adv, Prep, Noun, Adj}
violent death	41	w0_ambiguous	{Noun, Adj, Verb}	{Verb}
very air	41	w0_ambiguous	{Verb, Adv}	{Noun}
returned again	41	both_ambiguous	{Verb, Adj}	{Adv, Prep}
would ride	41	both_ambiguous	{Adj, Verb, Noun}	{Verb, Noun}
said half	41	both_ambiguous	{Verb, Adj}	{Adj, Adv, Verb}
much inclined	41	both_ambiguous	{Adj, Noun}	{Verb, Adj}
shall possess	41	w0_missing	NONE	{Verb}
work must	41	both_ambiguous	{Verb, Noun}	{Verb, Noun}
will succeed	41	w0_ambiguous	{Adv, Noun, Verb}	{Verb}
ye here	41	both_ambiguous	{Noun, Adv}	{Adv, Noun}
amuse themselves	41	w1_missing	{Verb}	NONE
too sure	41	w1_ambiguous	{Adv}	{Adj, Adv}
kind heart	41	both_ambiguous	{Verb, Adj}	{Verb, Noun}
met one	41	both_ambiguous	{Verb, Adj}	{Noun, Verb, Adj}
human character	41	both_ambiguous	{Noun, Adj}	{Noun, Verb}
little forward	41	both_ambiguous	{Adj, Noun, Adv}	{Verb, Adv, Adj, Noun}
better tell	41	both_ambiguous	{Noun, Adj, Verb}	{Verb, Noun}
inner court	41	w1_ambiguous	{Adj}	{Noun, Verb}
must appear	41	both_ambiguous	{Verb, Noun}	{Verb, Noun}
hung around	41	w0_missing	NONE	{Prep, Adv}
there really	41	w0_missing	NONE	{Adv}
then thought	41	both_ambiguous	{Adv, Prep}	{Verb, Adj, Noun}
himself after	41	w0_missing	NONE	{Adj, Prep, Adv}
mounted corps	41	w1_missing	{Verb, Adj}	NONE
out loud	41	both_ambiguous	{Verb, Noun, Adj}	{Adv, Adj}
many countries	41	w0_ambiguous	{Noun, Adj}	{Noun}
single file	41	both_ambiguous	{Adj, Noun, Verb}	{Noun, Verb}
set myself	41	w1_missing	{Noun, Adj, Verb}	NONE
open plain	41	both_ambiguous	{Adj, Verb, Noun}	{Verb, Adj, Adv}
too thin	41	w1_ambiguous	{Adv}	{Adj, Adv, Verb}
yellow fever	41	both_ambiguous	{Adj, Noun, Verb}	{Noun, Verb}
soon put	41	both_ambiguous	{Adv, Adj}	{Noun, Adj, Verb}
motive power	41	w0_ambiguous	{Noun, Adj, Verb}	{Noun}
will fly	41	both_ambiguous	{Adv, Noun, Verb}	{Adj, Verb}
english tongue	41	both_ambiguous	{Adj, Verb, Noun}	{Verb, Noun}
good opportunity	41	w0_ambiguous	{Noun, Adv, Verb, Adj}	{Noun}
now much	41	both_ambiguous	{Noun, Adv, Adj}	{Adj, Noun}
die like	41	both_ambiguous	{Noun, Verb}	{Verb, Noun, Adj}
thus became	41	both_ambiguous	{Adv, Noun}	{Adj, Verb}
can also	40	w1_missing	{Noun, Verb}	NONE
too will	40	w1_ambiguous	{Adv}	{Adv, Noun, Verb}
great moment	40	w0_ambiguous	{Noun, Adj}	{Noun}
inquired after	40	both_ambiguous	{Adj, Verb}	{Adj, Prep, Adv}
understanding between	40	both_ambiguous	{Verb, Noun, Adj}	{Prep, Noun}
waste time	40	both_ambiguous	{Verb, Adj}	{Verb, Noun}
myself alone	40	w0_missing	NONE	{Adv, Adj}
sufficient quantity	40	w1_ambiguous	{Adj}	{Verb, Noun}
early summer	40	w1_ambiguous	{Adv}	{Verb, Noun}
say come	40	both_ambiguous	{Verb, Adj, Noun}	{Verb, Adj, Noun}
seen something	40	both_ambiguous	{Adj, Verb}	{Noun, Adv}
may conclude	40	w0_ambiguous	{Verb, Noun}	{Verb}
heard again	40	both_ambiguous	{Verb, Adj}	{Adv, Prep}
another night	40	w0_missing	NONE	{Noun}
above two	40	w0_ambiguous	{Prep, Adv}	{Noun}
got about	40	both_ambiguous	{Adj, Verb}	{Adv, Prep}
half inclined	40	both_ambiguous	{Adj, Adv, Verb}	{Verb, Adj}
such evidence	40	w1_ambiguous	{Adj}	{Noun, Verb}
short interval	40	w0_ambiguous	{Verb, Adv, Noun, Adj}	{Noun}
went wrong	40	both_ambiguous	{Verb, Adj, Noun}	{Verb, Adj, Adv}
greatly pleased	40	w1_ambiguous	{Adv}	{Verb, Adj}
more considerable	40	w0_ambiguous	{Verb, Noun, Adj, Adv}	{Adj}
feet like	40	w1_ambiguous	{Noun}	{Verb, Noun, Adj}
heart said	40	both_ambiguous	{Verb, Noun}	{Verb, Adj}
bringing back	40	both_ambiguous	{Verb, Noun}	{Adj, Verb, Noun, Adv}
death will	40	w1_ambiguous	{Verb}	{Adv, Noun, Verb}
five children	40	w0_ambiguous	{Noun, Adj}	{Noun}
black prince	40	both_ambiguous	{Adv, Noun, Adj}	{Adj, Verb}
little blue	40	both_ambiguous	{Adj, Noun, Adv}	{Verb, Adj, Noun}
personal character	40	both_ambiguous	{Noun, Adj}	{Noun, Verb}
would teach	40	w0_ambiguous	{Adj, Verb, Noun}	{Verb}
many opportunities	40	w0_ambiguous	{Noun, Adj}	{Noun}
new form	40	both_ambiguous	{Adj, Adv, Verb}	{Verb, Noun}
door swung	40	w1_ambiguous	{Noun}	{Adj, Verb}
shall consider	40	w0_missing	NONE	{Verb}
doing there	40	w1_missing	{Verb, Noun}	NONE
shall let	40	w0_missing	NONE	{Adj, Verb, Noun}
made under	40	both_ambiguous	{Adj, Verb, Noun}	{Adj, Prep, Adv}
then first	40	both_ambiguous	{Adv, Prep}	{Adv, Noun, Adj}
will shortly	40	w0_ambiguous	{Adv, Noun, Verb}	{Adv}
chief object	40	both_ambiguous	{Noun, Adj}	{Verb, Adj}
intellectual life	40	w0_ambiguous	{Noun, Adj}	{Noun}
road leading	40	w1_ambiguous	{Noun}	{Verb, Noun, Adj}
would refuse	40	both_ambiguous	{Adj, Verb, Noun}	{Adj, Verb, Noun}
seventy thousand	40	both_ambiguous	{Noun, Adj}	{Adj, Noun}
bad habit	40	w0_ambiguous	{Verb, Adj}	{Noun}
might keep	40	both_ambiguous	{Verb, Adj}	{Verb, Noun}
hundred fifty	40	both_ambiguous	{Noun, Adj}	{Adj, Noun}
brought under	40	both_ambiguous	{Adj, Verb}	{Adj, Prep, Adv}
stripped off	40	both_ambiguous	{Verb, Adj}	{Adj, Prep, Noun, Adv}
soon gave	40	both_ambiguous	{Adv, Adj}	{Verb, Adj}
soft brown	40	both_ambiguous	{Adj, Adv, Noun}	{Adj, Verb, Noun}
stay behind	40	both_ambiguous	{Verb, Noun}	{Adj, Adv, Noun}
too common	40	w1_ambiguous	{Adv}	{Verb, Noun}
long course	40	both_ambiguous	{Adv, Adj, Noun, Prep}	{Noun, Verb}
great secret	40	both_ambiguous	{Noun, Adj}	{Adj, Verb}
full oft	40	both_ambiguous	{Verb, Adv, Noun}	{Adj, Adv}
still retain	40	w0_ambiguous	{Verb, Noun, Adj, Adv}	{Verb}
summer night	40	w0_ambiguous	{Verb, Noun}	{Noun}
utmost care	40	w0_ambiguous	{Noun, Adj}	{Noun}
worrying about	40	both_ambiguous	{Noun, Verb}	{Adv, Prep}
hiding place	40	w0_ambiguous	{Verb, Noun}	{Noun}
farther side	40	both_ambiguous	{Adj, Adv, Verb}	{Verb, Noun, Adj}
second sight	40	w0_ambiguous	{Noun, Adj}	{Verb}
now stand	40	both_ambiguous	{Noun, Adv, Adj}	{Noun, Verb}
more fatal	40	w0_ambiguous	{Verb, Noun, Adj, Adv}	{Adj}
search out	40	w1_ambiguous	{Verb}	{Verb, Noun, Adj}
standing over	40	both_ambiguous	{Verb, Noun, Adj}	{Adj, Prep, Noun, Adv}
given birth	40	w0_ambiguous	{Verb, Adv, Adj}	{Noun}
way will	40	both_ambiguous	{Verb, Adv, Noun}	{Adv, Noun, Verb}
given time	40	both_ambiguous	{Verb, Adv, Adj}	{Verb, Noun}
almost forgot	40	w1_ambiguous	{Adv}	{Verb, Adj}
heaven bless	40	w0_ambiguous	{Verb, Noun}	{Verb}
will fail	40	w0_ambiguous	{Adv, Noun, Verb}	{Verb}
something less	40	both_ambiguous	{Noun, Adv}	{Verb, Adj, Prep, Adv, Noun}
fell forward	40	both_ambiguous	{Verb, Noun, Adj}	{Verb, Adv, Adj, Noun}
one went	40	both_ambiguous	{Noun, Verb, Adj}	{Verb, Adj, Noun}
said colonel	40	w0_ambiguous	{Verb, Adj}	{Noun}
shall cease	40	w0_missing	NONE	{Verb, Noun}
could love	40	both_ambiguous	{Adj, Verb}	{Noun, Verb}
moon rose	40	both_ambiguous	{Noun, Verb}	{Noun, Verb, Adj}
where people	40	both_ambiguous	{Noun, Adv, Prep}	{Verb, Noun}
get near	40	both_ambiguous	{Verb, Noun}	{Verb, Adv, Adj, Prep}
leaped out	40	both_ambiguous	{Adj, Verb}	{Verb, Noun, Adj}
pounds sterling	40	w1_ambiguous	{Noun}	{Adj, Noun}
one ear	40	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun}
staggered back	40	both_ambiguous	{Verb, Adj}	{Adj, Verb, Noun, Adv}
hand went	40	both_ambiguous	{Noun, Verb}	{Verb, Adj, Noun}
red blood	40	both_ambiguous	{Verb, Adj, Noun}	{Noun, Verb}
there grew	40	w0_missing	NONE	{Verb, Adj}
would grant	40	w0_ambiguous	{Adj, Verb, Noun}	{Verb}
good honest	40	w0_ambiguous	{Noun, Adv, Verb, Adj}	{Adj}
own wife	40	w0_ambiguous	{Verb, Adj}	{Noun}
very pleasing	40	both_ambiguous	{Verb, Adv}	{Noun, Adj, Verb}
open road	40	w0_ambiguous	{Adj, Verb, Noun}	{Noun}
some faint	40	w1_ambiguous	{Adj}	{Noun, Verb, Adj}
positive idea	40	w0_ambiguous	{Noun, Adj}	{Noun}
silver fox	40	both_ambiguous	{Verb, Adj, Noun}	{Verb, Noun}
when used	40	w1_ambiguous	{Adv}	{Adj, Verb}
though neither	40	both_ambiguous	{Adv, Prep}	{Prep, Adj}
hung back	40	w0_missing	NONE	{Adj, Verb, Noun, Adv}
link between	40	both_ambiguous	{Verb, Noun}	{Prep, Noun}
thy place	40	w0_missing	NONE	{Noun}
another when	40	w0_missing	NONE	{Adv}
time thou	40	w0_ambiguous	{Verb, Noun}	{Verb}
pretty quick	40	both_ambiguous	{Adv, Adj}	{Adj, Adv, Noun, Verb}
may want	40	w0_ambiguous	{Verb, Noun}	{Verb}
high command	40	both_ambiguous	{Adv, Adj, Noun, Verb}	{Noun, Verb}
ground under	40	both_ambiguous	{Noun, Verb, Adj}	{Adj, Prep, Adv}
never forgotten	40	w1_ambiguous	{Adv}	{Adj, Verb}
help themselves	40	w1_missing	{Verb}	NONE
too familiar	40	w1_ambiguous	{Adv}	{Noun, Adj}
there once	40	w0_missing	NONE	{Adv}
sudden impulse	40	both_ambiguous	{Adv, Noun, Adj}	{Noun, Verb}
off now	40	both_ambiguous	{Adj, Prep, Noun, Adv}	{Noun, Adv, Adj}
day now	40	w1_ambiguous	{Noun}	{Noun, Adv, Adj}
day should	40	w1_ambiguous	{Noun}	{Adj, Verb}
fairy tales	40	w0_ambiguous	{Adj, Noun}	{Noun}
after time	40	both_ambiguous	{Adj, Prep, Adv}	{Verb, Noun}
since first	40	both_ambiguous	{Prep, Adv}	{Adv, Noun, Adj}
very superior	40	both_ambiguous	{Verb, Adv}	{Adj, Noun}
war should	40	both_ambiguous	{Adj, Noun, Verb}	{Adj, Verb}
himself said	40	w0_missing	NONE	{Verb, Adj}
set thy	40	w1_missing	{Noun, Adj, Verb}	NONE
bound volume	40	w0_ambiguous	{Verb, Noun, Adj}	{Noun}
must hold	40	both_ambiguous	{Verb, Noun}	{Noun, Verb}
served up	40	both_ambiguous	{Verb, Adj}	{Adv, Prep, Noun, Adj}
wherefore should	40	w1_ambiguous	{Noun}	{Adj, Verb}
thy might	40	w0_missing	NONE	{Verb, Adj}
perfectly free	40	w1_ambiguous	{Adv}	{Adv, Adj}
thank ye	40	w1_ambiguous	{Noun}	{Noun, Adv}
thanked god	40	both_ambiguous	{Verb, Adj}	{Adj, Noun, Verb}
listened intently	40	w0_ambiguous	{Verb, Adj}	{Adv}
one respect	40	w0_ambiguous	{Noun, Verb, Adj}	{Verb}
great mind	40	both_ambiguous	{Noun, Adj}	{Noun, Verb}
must beg	40	both_ambiguous	{Verb, Noun}	{Noun, Verb}
turning towards	40	both_ambiguous	{Noun, Verb}	{Prep, Adv}
same order	40	w1_ambiguous	{Verb}	{Noun, Verb}
one heart	40	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun}
day may	40	w1_ambiguous	{Noun}	{Verb, Noun}
lower canada	40	w0_ambiguous	{Verb, Adj, Noun}	{Noun}
say thus	40	both_ambiguous	{Verb, Adj, Noun}	{Adv, Noun}
too bold	40	w1_ambiguous	{Adv}	{Noun, Verb}
hanging up	40	both_ambiguous	{Adj, Noun, Verb}	{Adv, Prep, Noun, Adj}
show more	40	both_ambiguous	{Noun, Verb}	{Verb, Noun, Adj, Adv}
deep shadow	40	w0_ambiguous	{Adv, Adj, Noun}	{Noun}
bosom friend	40	both_ambiguous	{Adj, Verb, Noun}	{Noun, Verb}
can safely	40	w0_ambiguous	{Noun, Verb}	{Adv}
giving out	40	both_ambiguous	{Verb, Noun}	{Verb, Noun, Adj}
better world	40	w0_ambiguous	{Noun, Adj, Verb}	{Noun}
papa said	40	w1_ambiguous	{Noun}	{Verb, Adj}
gastric juice	40	w1_ambiguous	{Adj}	{Noun, Verb}
peered out	40	both_ambiguous	{Adj, Verb}	{Verb, Noun, Adj}
comes near	40	w1_ambiguous	{Noun}	{Verb, Adv, Adj, Prep}
th eternal	40	w0_missing	NONE	{Adj, Noun}
certainly very	40	w1_ambiguous	{Adv}	{Verb, Adv}
more water	40	both_ambiguous	{Verb, Noun, Adj, Adv}	{Verb, Noun}
said mac	40	w1_missing	{Verb, Adj}	NONE
last quarter	40	both_ambiguous	{Adj, Noun, Verb}	{Verb, Noun}
best when	40	w0_ambiguous	{Noun, Adj, Verb}	{Adv}
next one	40	both_ambiguous	{Adv, Adj}	{Noun, Verb, Adj}
would enter	40	w0_ambiguous	{Adj, Verb, Noun}	{Verb}
better keep	40	both_ambiguous	{Noun, Adj, Verb}	{Verb, Noun}
cannot endure	40	w0_missing	NONE	{Verb}
look now	40	both_ambiguous	{Verb, Noun}	{Noun, Adv, Adj}
great help	40	w0_ambiguous	{Noun, Adj}	{Verb}
wandered through	40	both_ambiguous	{Adj, Verb}	{Adv, Adj, Prep}
men make	40	w1_ambiguous	{Noun}	{Verb, Noun}
dead before	40	both_ambiguous	{Verb, Adj, Adv, Noun}	{Prep, Adv}
english girl	40	w0_ambiguous	{Adj, Verb, Noun}	{Noun}
let thine	40	w1_missing	{Adj, Verb, Noun}	NONE
morning paper	40	w1_ambiguous	{Adj}	{Noun, Adj, Verb}
bold enough	40	both_ambiguous	{Noun, Verb}	{Noun, Adj, Adv}
heaven above	40	both_ambiguous	{Verb, Noun}	{Prep, Adv}
herself again	40	w0_missing	NONE	{Adv, Prep}
more full	40	both_ambiguous	{Verb, Noun, Adj, Adv}	{Verb, Adv, Noun}
drug store	40	both_ambiguous	{Noun, Verb}	{Verb, Adj}
though most	40	w0_ambiguous	{Adv, Prep}	{Adj}
truth there	40	w1_missing	{Verb, Noun}	NONE
only going	40	both_ambiguous	{Adj, Prep}	{Verb, Noun}
man say	40	both_ambiguous	{Noun, Verb}	{Verb, Adj, Noun}
new strength	40	both_ambiguous	{Adj, Adv, Verb}	{Noun, Verb}
one exception	40	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
hardly say	40	w1_ambiguous	{Adv}	{Verb, Adj, Noun}
true faith	40	w0_ambiguous	{Adv, Noun}	{Noun}
finally settled	40	w1_ambiguous	{Adv}	{Verb, Adj}
well yes	40	w0_ambiguous	{Verb, Adj}	{Adv}
light would	40	both_ambiguous	{Noun, Adj, Verb, Adv}	{Adj, Verb, Noun}
watchful eye	40	w1_ambiguous	{Adj}	{Noun, Verb}
stuck out	40	both_ambiguous	{Verb, Adj, Noun}	{Verb, Noun, Adj}
however some	40	w0_ambiguous	{Prep, Adv}	{Adj}
thus obtained	40	both_ambiguous	{Adv, Noun}	{Verb, Adj}
very unlike	40	w0_ambiguous	{Verb, Adv}	{Adj}
very distinctly	40	w0_ambiguous	{Verb, Adv}	{Adv}
stopped abruptly	40	w0_ambiguous	{Adj, Verb}	{Adv}
beating heart	40	both_ambiguous	{Verb, Noun}	{Verb, Noun}
quite naturally	40	w0_ambiguous	{Adj, Verb}	{Adv}
very earnest	40	both_ambiguous	{Verb, Adv}	{Noun, Adj, Verb}
coming across	40	both_ambiguous	{Adj, Noun}	{Noun, Adv}
deeply impressed	40	w1_ambiguous	{Adv}	{Verb, Adj}
missionary work	40	both_ambiguous	{Adj, Noun}	{Verb, Noun}
grew out	40	both_ambiguous	{Verb, Adj}	{Verb, Noun, Adj}
see page	40	both_ambiguous	{Noun, Verb}	{Verb, Noun}
give much	40	both_ambiguous	{Noun, Verb}	{Adj, Noun}
first letter	40	both_ambiguous	{Adv, Noun, Adj}	{Verb, Noun}
started again	40	both_ambiguous	{Verb, Adj}	{Adv, Prep}
made even	40	both_ambiguous	{Adj, Verb, Noun}	{Noun, Verb, Adj}
till midnight	40	both_ambiguous	{Prep, Noun, Verb}	{Noun, Adj}
would satisfy	40	both_ambiguous	{Adj, Verb, Noun}	{Verb, Adj}
forest where	40	both_ambiguous	{Noun, Verb, Adj}	{Noun, Adv, Prep}
man appeared	40	both_ambiguous	{Noun, Verb}	{Verb, Adj}
real state	40	both_ambiguous	{Adj, Noun}	{Noun, Verb, Adj}
same side	40	w1_ambiguous	{Verb}	{Verb, Noun, Adj}
off there	40	w1_missing	{Adj, Prep, Noun, Adv}	NONE
steep hill	40	both_ambiguous	{Adj, Noun, Verb}	{Verb, Noun}
could escape	40	both_ambiguous	{Adj, Verb}	{Noun, Verb}
get money	40	both_ambiguous	{Verb, Noun}	{Verb, Noun}
much respect	40	w0_ambiguous	{Adj, Noun}	{Verb}
one under	40	both_ambiguous	{Noun, Verb, Adj}	{Adj, Prep, Adv}
hark ye	40	w1_ambiguous	{Verb}	{Noun, Adv}
very frequent	40	both_ambiguous	{Verb, Adv}	{Adj, Noun}
said look	40	both_ambiguous	{Verb, Adj}	{Verb, Noun}
said laughing	40	both_ambiguous	{Verb, Adj}	{Adj, Noun, Verb}
very painful	40	w0_ambiguous	{Verb, Adv}	{Adj}
answered paul	40	w0_ambiguous	{Adj, Verb}	{Noun}
official report	40	w0_ambiguous	{Adj, Noun}	{Verb}
when king	40	w1_ambiguous	{Adv}	{Noun, Verb}
long dark	40	both_ambiguous	{Adv, Adj, Noun, Prep}	{Adj, Noun, Verb}
other fellow	40	both_ambiguous	{Adv, Prep}	{Noun, Verb}
hath heard	40	w0_missing	NONE	{Verb, Adj}
could recover	40	both_ambiguous	{Adj, Verb}	{Verb, Noun}
old city	40	both_ambiguous	{Noun, Adj}	{Noun, Adj}
only will	40	both_ambiguous	{Adj, Prep}	{Adv, Noun, Verb}
full justice	40	both_ambiguous	{Verb, Adv, Noun}	{Verb, Adj}
sweet sweet	40	both_ambiguous	{Noun, Adv, Adj, Verb}	{Noun, Adv, Adj, Verb}
bright sun	40	both_ambiguous	{Verb, Noun, Adv, Adj}	{Verb, Noun}
now grown	40	both_ambiguous	{Noun, Adv, Adj}	{Adj, Verb}
more apt	40	both_ambiguous	{Verb, Noun, Adj, Adv}	{Verb, Adj}
also more	40	w0_missing	NONE	{Verb, Noun, Adj, Adv}
while sir	40	w0_ambiguous	{Verb, Noun, Prep}	{Noun}
moment while	40	w1_ambiguous	{Noun}	{Verb, Noun, Prep}
working people	40	both_ambiguous	{Verb, Noun}	{Verb, Noun}
open arms	40	w0_ambiguous	{Adj, Verb, Noun}	{Noun}
cannot remember	40	w0_missing	NONE	{Verb}
should proceed	40	both_ambiguous	{Adj, Verb}	{Verb, Noun}
between men	40	w0_ambiguous	{Prep, Noun}	{Noun}
till noon	40	both_ambiguous	{Prep, Noun, Verb}	{Adj, Verb, Noun}
human face	40	both_ambiguous	{Noun, Adj}	{Verb, Noun}
like sheep	40	w1_missing	{Verb, Noun, Adj}	NONE
wife will	40	w1_ambiguous	{Noun}	{Adv, Noun, Verb}
palace scene	40	w1_ambiguous	{Noun}	{Noun, Verb}
hurra hurra	40	both_missing	NONE	NONE
rest there	40	w1_missing	{Noun, Verb}	NONE
sat before	40	both_ambiguous	{Adj, Verb}	{Prep, Adv}
seen much	40	both_ambiguous	{Adj, Verb}	{Adj, Noun}
now quoth	40	w0_ambiguous	{Noun, Adv, Adj}	{Verb}
earth beneath	40	both_ambiguous	{Verb, Noun}	{Adv, Prep}
hours passed	40	w1_ambiguous	{Noun}	{Adj, Verb}
voice saying	40	both_ambiguous	{Verb, Noun}	{Verb, Noun}
once told	40	w1_ambiguous	{Adv}	{Verb, Adj}
smiled again	40	both_ambiguous	{Adj, Verb}	{Adv, Prep}
big chimney	40	w0_ambiguous	{Adj, Verb, Noun}	{Noun}
come first	40	both_ambiguous	{Verb, Adj, Noun}	{Adv, Noun, Adj}
one volume	40	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
desert mounted	40	both_ambiguous	{Verb, Adj, Noun}	{Verb, Adj}
should move	40	both_ambiguous	{Adj, Verb}	{Verb, Noun}
man o	40	both_ambiguous	{Noun, Verb}	{Noun, Adj}
silence then	40	both_ambiguous	{Verb, Noun}	{Adv, Prep}
when many	40	w1_ambiguous	{Adv}	{Noun, Adj}
hurried forward	40	both_ambiguous	{Adj, Verb}	{Verb, Adv, Adj, Noun}
next summer	40	both_ambiguous	{Adv, Adj}	{Verb, Noun}
hear something	40	w1_ambiguous	{Verb}	{Noun, Adv}
while other	40	both_ambiguous	{Verb, Noun, Prep}	{Adv, Prep}
last found	40	both_ambiguous	{Adj, Noun, Verb}	{Noun, Adj, Verb}
golden light	40	w1_ambiguous	{Adj}	{Noun, Adj, Verb, Adv}
always carried	40	w1_ambiguous	{Adv}	{Verb, Adj}
thought better	40	both_ambiguous	{Verb, Adj, Noun}	{Noun, Adj, Verb}
hand hath	40	w1_missing	{Noun, Verb}	NONE
right where	40	both_ambiguous	{Adv, Adj, Verb}	{Noun, Adv, Prep}
will repay	40	w0_ambiguous	{Adv, Noun, Verb}	{Verb}
poor heart	40	both_ambiguous	{Adj, Noun}	{Verb, Noun}
before said	39	both_ambiguous	{Prep, Adv}	{Verb, Adj}
oh uncle	39	w0_missing	NONE	{Noun}
cold winter	39	both_ambiguous	{Verb, Noun}	{Verb, Noun}
first case	39	both_ambiguous	{Adv, Noun, Adj}	{Verb, Noun}
played out	39	both_ambiguous	{Verb, Adj}	{Verb, Noun, Adj}
thou there	39	w1_missing	{Verb}	NONE
still smiling	39	both_ambiguous	{Verb, Noun, Adj, Adv}	{Verb, Noun}
second month	39	w0_ambiguous	{Noun, Adj}	{Noun}
man over	39	both_ambiguous	{Noun, Verb}	{Adj, Prep, Noun, Adv}
can happen	39	w0_ambiguous	{Noun, Verb}	{Verb}
forward movement	39	w0_ambiguous	{Verb, Adv, Adj, Noun}	{Noun}
sometimes very	39	both_ambiguous	{Adv, Adj}	{Verb, Adv}
carried down	39	both_ambiguous	{Verb, Adj}	{Noun, Adj, Prep, Verb, Adv}
after going	39	both_ambiguous	{Adj, Prep, Adv}	{Verb, Noun}
said isabel	39	w1_missing	{Verb, Adj}	NONE
cloudless sky	39	w1_ambiguous	{Adj}	{Noun, Verb}
washed out	39	both_ambiguous	{Verb, Adj}	{Verb, Noun, Adj}
sunday night	39	w0_ambiguous	{Noun, Adj}	{Noun}
see chapter	39	both_ambiguous	{Noun, Verb}	{Verb, Noun}
national game	39	w1_ambiguous	{Adj}	{Verb, Noun, Adj}
whole empire	39	w0_ambiguous	{Noun, Adj}	{Noun}
good wine	39	w0_ambiguous	{Noun, Adv, Verb, Adj}	{Noun}
good even	39	both_ambiguous	{Noun, Adv, Verb, Adj}	{Noun, Verb, Adj}
one summer	39	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun}
great poem	39	w0_ambiguous	{Noun, Adj}	{Noun}
though sometimes	39	both_ambiguous	{Adv, Prep}	{Adv, Adj}
few good	39	w1_ambiguous	{Adj}	{Noun, Adv, Verb, Adj}
though none	39	both_ambiguous	{Adv, Prep}	{Adj, Noun}
hand came	39	both_ambiguous	{Noun, Verb}	{Verb, Noun, Adj}
gradually became	39	w1_ambiguous	{Adv}	{Adj, Verb}
almost say	39	w1_ambiguous	{Adv}	{Verb, Adj, Noun}
rose before	39	both_ambiguous	{Noun, Verb, Adj}	{Prep, Adv}
thy noble	39	w0_missing	NONE	{Adj, Noun, Verb}
